Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,5,5
Aric Almirola,6,6,1
Joey Logano,7,18,12
William Byron,19,19,1
Joey Logano,20,22,3
Ryan Preece,23,30,8
Ricky Stenhouse Jr,31,38,8
Ty Dillon,39,40,2
Christopher Bell,41,42,2
Austin Cindric,43,48,6
Ricky Stenhouse Jr,49,50,2
Austin Cindric,51,51,1
Ricky Stenhouse Jr,52,53,2
Austin Cindric,54,55,2
Ricky Stenhouse Jr,56,57,2
Austin Cindric,58,59,2
Ryan Blaney,60,61,2
Riley Herbst,62,62,1
Ryan Blaney,63,65,3
Chase Elliott,66,67,2
Ryan Blaney,68,68,1
Chase Elliott,69,72,4
Alex Bowman,73,73,1
Austin Cindric,74,74,1
Alex Bowman,75,76,2
Austin Cindric,77,78,2
Erik Jones,79,79,1
Alex Bowman,80,81,2
Austin Cindric,82,82,1
Erik Jones,83,85,3
Michael McDowell,86,87,2
Riley Herbst,88,88,1
Michael McDowell,89,89,1
Riley Herbst,90,91,2
Michael McDowell,92,92,1
Riley Herbst,93,94,2
Tyler Reddick,95,95,1
Riley Herbst,96,99,4
Tyler Reddick,100,100,1
Michael McDowell,101,101,1
Denny Hamlin,102,104,3
Kyle Busch,105,106,2
Austin Dillon,107,107,1
Brad Keselowski,108,110,3
Joey Logano,111,115,5
William Byron,116,119,4
Brad Keselowski,120,121,2
Justin Haley,122,122,1
Joey Logano,123,132,10
Kyle Larson,133,133,1
Joey Logano,134,143,10
Chris Buescher,144,145,2
Joey Logano,146,148,3
William Byron,149,153,5
Bubba Wallace,154,156,3
William Byron,157,158,2
Aric Almirola,159,160,2
Kevin Harvick,161,164,4
Chris Buescher,165,165,1
Aric Almirola,166,168,3
Alex Bowman,169,169,1
Aric Almirola,170,170,1
Alex Bowman,171,176,6
Kevin Harvick,177,178,2
Alex Bowman,179,179,1
Chase Elliott,180,180,1
Kevin Harvick,181,182,2
Chase Elliott,183,183,1
Kevin Harvick,184,186,3
Ryan Blaney,187,188,2
