Rank,Driver,Wins,Points
1,Kyle Busch,3,400
2,Denny Hamlin,2,366
3,Brad Keselowski,2,313
4,Joey Logano,1,380
5,Martin Truex Jr,1,311
6,Kevin Harvick,0,349
7,Kurt Busch,0,287
8,Clint Bowyer,0,280
9,Ryan Blaney,0,277
10,Chase Elliott,0,267
11,Aric Almirola,0,260
12,Daniel Suarez,0,235
13,Jimmie Johnson,0,234
14,Ryan Newman,0,216
14,Austin Dillon,0,216
16,Paul Menard,0,213
