Rank,Driver,Points,Diff
1,Kyle Busch,400,
2,Joey Logano,380,-20
3,Denny Hamlin,366,-34
4,Kevin Harvick,349,-51
5,Brad Keselowski,313,-87
6,Martin Truex Jr,311,-89
7,Kurt Busch,287,-113
8,Clint Bowyer,280,-120
9,Ryan Blaney,277,-123
10,Chase Elliott,267,-133
11,Aric Almirola,260,-140
12,Daniel Suarez,235,-165
13,Jimmie Johnson,234,-166
14,Austin Dillon,216,-184
14,Ryan Newman,216,-184
16,Paul Menard,213,-187
17,Erik Jones,212,-188
18,Ricky Stenhouse Jr,208,-192
19,Kyle Larson,204,-196
20,William Byron,198,-202
21,Alex Bowman,186,-214
