Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,41,41,,
yellow_flag,42,46,5,competition,#00
green_flag,47,101,55,,
yellow_flag,102,111,10,end of stage 1,#95
green_flag,112,128,17,,
yellow_flag,129,135,7,#42 accident turn 1,#47
green_flag,136,201,66,,
yellow_flag,202,211,10,end of stage 2,#12
green_flag,212,243,32,,
yellow_flag,244,252,9,#34 accident turn 1,#47
green_flag,253,400,148,,
Percent of race run under caution: 10.3%             Average green flag run: 59.8 laps
