Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,400,running,186,57,5
2,3,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,400,running,52,54,1
3,14,14,Clint Bowyer,Haas Automation   (Stewart Haas Racing),Ford,400,running,0,46,0
4,1,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,400,running,30,48,0
5,30,11,Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,400,running,0,32,0
6,6,3,Austin Dillon,"AAA ""We Know Cars & Drivers""   (Richard Childress)",Chevrolet,400,running,0,31,0
7,8,2,Brad Keselowski,Alliance Truck Parts   (Roger Penske),Ford,400,running,31,42,0
8,4,18,Kyle Busch,M&M's   (Joe Gibbs),Toyota,400,running,101,39,1
9,24,6,Ryan Newman,AmericanMuscle.com / Acorns   (Jack Roush),Ford,400,running,0,28,0
10,9,21,Paul Menard,Menards / Maytag   (Wood Brothers),Ford,400,running,0,30,0
11,2,1,Kurt Busch,Global Poker   (Chip Ganassi),Chevrolet,400,running,0,34,0
12,34,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,400,running,0,25,0
13,13,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,400,running,0,24,0
14,35,20,Erik Jones,DeWalt   (Joe Gibbs),Toyota,400,running,0,26,0
15,32,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,0,22,0
16,11,17,Ricky Stenhouse Jr,Fifth Third Bank   (Jack Roush),Ford,400,running,0,21,0
17,12,88,Alex Bowman,Nationwide   (Rick Hendrick),Chevrolet,399,running,0,20,0
18,33,41,Daniel Suarez,Haas Automation   (Stewart Haas Racing),Ford,399,running,0,25,0
19,17,8,Daniel Hemric,Bass Pro Shops / Tracker Boats   (Richard Childress),Chevrolet,399,running,0,18,0
20,16,47,Ryan Preece,Kroger / Clorox / Gain   (JTG-Daugherty Racing),Chevrolet,399,running,0,17,0
21,23,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,398,running,0,16,0
22,7,37,Chris Buescher,Scott Comfort Plus / Clorox   (JTG-Daugherty Racing),Chevrolet,398,running,0,20,0
23,31,10,Aric Almirola,"Smithfield ""Get Grilling"" / #TeamFast   (Stewart Haas Racing)",Ford,398,running,0,14,0
24,20,95,Matt DiBenedetto,Toyota Certified Used Vehicles/Toyota Owners   (Leavine Family Racing),Toyota,398,running,0,13,0
25,22,12,Ryan Blaney,Money Lion   (Roger Penske),Ford,398,running,0,12,0
26,21,32,Corey LaJoie,Keen Parts / CorvetteParts.net   (Archie St. Hilaire),Ford,396,running,0,11,0
27,19,43,Bubba Wallace,World Wide Technology   (Richard Petty Motorsports),Chevrolet,396,running,0,10,0
28,15,38,David Ragan,MDS Transport   (Bob Jenkins),Ford,396,running,0,9,0
29,36,36,Matt Tifft,The Pete Store   (Bob Jenkins),Ford,395,running,0,8,0
30,29,15,Ross Chastain,Rim Ryderz   (Jay Robinson),Chevrolet,394,running,0,0,0
31,27,51,Jeb Burton,Mtel-One / Jacob Companies   (Rick Ware),Ford,392,running,0,0,0
32,26,52,Bayley Currey,Steakhouse Elite   (Rick Ware),Chevrolet,392,running,0,0,0
33,37,66,Joey Gase,Eternal Fan / Sam Bass Tribute   (Carl Long),Toyota,387,running,0,0,0
34,28,77,Quin Houff,FALCI Adaptive Motorsports   (Spire Motorsports),Chevrolet,386,running,0,3,0
35,25,00,Landon Cassill,Superior Essex   (StarCom Racing),Chevrolet,322,running,0,0,0
36,18,34,Michael McDowell,Dockside Logistics   (Bob Jenkins),Ford,240,crash,0,1,0
37,10,42,Kyle Larson,McDonald's   (Chip Ganassi),Chevrolet,125,crash,0,1,0
