Leader,From Lap,To Lap,# Of Laps
Alex Bowman,1,1,1
Kevin Harvick,2,17,16
Kaz Grala,18,27,10
Chase Elliott,28,29,2
Austin Dillon,30,30,1
Cole Custer,31,31,1
Denny Hamlin,32,71,40
Austin Cindric,72,73,2
Denny Hamlin,74,74,1
Christopher Bell,75,106,32
Austin Dillon,107,108,2
Chase Elliott,109,109,1
Kyle Larson,110,110,1
Denny Hamlin,111,117,7
Joey Logano,118,118,1
Kevin Harvick,119,119,1
Denny Hamlin,120,128,9
Bubba Wallace,129,129,1
Denny Hamlin,130,132,3
Austin Dillon,133,136,4
Denny Hamlin,137,174,38
Joey Logano,175,199,25
Michael McDowell,200,200,1
