Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,3,3,,
yellow_flag,4,7,4,#15 accident turn 4,none
green_flag,8,14,7,,
yellow_flag,15,29,15,"#19,43,77,48,21,8,10,17,12,24,6,20,1,36,38,99 accident turn 3",none
green_flag,30,38,9,,
yellow_flag,39,43,5,"#00,14 accident frontstretch",#77
green_flag,44,66,23,,
yellow_flag,67,71,5,end of stage 1,#77
green_flag,72,112,41,,
yellow_flag,113,117,5,"#47,20,5,77 accident backstretch",none
green_flag,118,131,14,,
yellow_flag,132,136,5,end of stage 2,#20
green_flag,137,199,63,,
yellow_flag,200,200,1,"#2,22,37,9,42,18,23,33 accident turn 3",none
Percent of race run under caution: 20.0%             Average green flag run: 22.9 laps
