Rank,Driver,Wins,Points
1,Michael McDowell,1,46
2,Austin Dillon,0,58
3,Denny Hamlin,0,52
4,Kevin Harvick,0,50
5,Chase Elliott,0,48
6,Ryan Preece,0,46
7,Kyle Larson,0,41
7,Bubba Wallace,0,41
9,Joey Logano,0,40
10,Christopher Bell,0,35
11,Ross Chastain,0,32
11,Corey LaJoie,0,32
11,Kyle Busch,0,32
14,Jamie McMurray,0,30
15,Cole Custer,0,27
16,Brad Keselowski,0,25
