Leader,From Lap,To Lap,# Of Laps
Kevin Harvick,1,20,20
Austin Dillon,21,33,13
Brennan Poole,34,34,1
Austin Dillon,35,38,4
Denny Hamlin,39,83,45
Austin Dillon,84,84,1
Joey Logano,85,120,36
Brad Keselowski,121,162,42
Kevin Harvick,163,181,19
Austin Dillon,182,217,36
Brad Keselowski,218,293,76
Chase Elliott,294,295,2
Kurt Busch,296,307,12
Joey Logano,308,316,9
Brad Keselowski,317,342,26
Kyle Busch,343,346,4
Kevin Harvick,347,348,2
Kurt Busch,349,351,3
Austin Dillon,352,352,1
Brad Keselowski,353,400,48
