Rank,Driver,Points,Diff
1,Kevin Harvick,2143,
2,Denny Hamlin,2122,-21
3,Brad Keselowski,2112,-31
4,Joey Logano,2109,-34
5,Martin Truex Jr,2096,-47
6,Austin Dillon,2094,-49
7,Chase Elliott,2086,-57
8,Alex Bowman,2085,-58
9,Kyle Busch,2076,-67
10,Aric Almirola,2065,-78
10,Kurt Busch,2065,-78
12,Clint Bowyer,2061,-82
13,William Byron,2058,-85
14,Cole Custer,2053,-90
15,Matt DiBenedetto,2036,-107
16,Ryan Blaney,2034,-109
17,Jimmie Johnson,700,-1443
18,Erik Jones,645,-1498
19,Tyler Reddick,619,-1524
20,Christopher Bell,511,-1632
21,Chris Buescher,501,-1642
