Rank,Driver,Wins,Points
1,Kyle Larson,1,118
2,Ryan Blaney,0,110
3,Martin Truex Jr,0,104
4,William Byron,1,103
5,Ross Chastain,0,98
6,Chase Elliott,0,95
6,Kyle Busch,0,95
8,Daniel Suarez,1,90
9,Denny Hamlin,0,87
9,Ty Gibbs,0,87
11,Austin Cindric,0,86
12,Tyler Reddick,0,84
13,Alex Bowman,0,82
14,Bubba Wallace,0,76
15,Erik Jones,0,71
16,John H. Nemechek,0,68
