Rank,Driver,Points,Diff
1,Kyle Larson,118,
2,Ryan Blaney,110,-8
3,Martin Truex Jr,104,-14
4,William Byron,103,-15
5,Ross Chastain,98,-20
6,Kyle Busch,95,-23
6,Chase Elliott,95,-23
8,Daniel Suarez,90,-28
9,Ty Gibbs,87,-31
9,Denny Hamlin,87,-31
11,Austin Cindric,86,-32
12,Tyler Reddick,84,-34
13,Alex Bowman,82,-36
14,Bubba Wallace,76,-42
15,Erik Jones,71,-47
16,John H. Nemechek,68,-50
17,Corey LaJoie,66,-52
18,Ricky Stenhouse Jr,64,-54
19,Daniel Hemric,58,-60
20,Chase Briscoe,53,-65
21,Christopher Bell,52,-66
