Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,2,2
Kyle Larson,3,12,10
Daniel Hemric,13,13,1
Chris Buescher,14,15,2
Chase Briscoe,16,16,1
William Byron,17,30,14
Kyle Larson,31,31,1
Daniel Suarez,32,42,11
Kyle Busch,43,60,18
Kyle Larson,61,84,24
Martin Truex Jr,85,88,4
Denny Hamlin,89,104,16
Kyle Larson,105,119,15
Ross Chastain,120,120,1
Tyler Reddick,121,121,1
Kyle Larson,122,158,37
Alex Bowman,159,161,3
Kyle Larson,162,210,49
William Byron,211,211,1
Daniel Suarez,212,215,4
Michael McDowell,216,219,4
Derek Kraus,220,221,2
Kyle Larson,222,239,18
Ross Chastain,240,240,1
Kyle Larson,241,267,27
