Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,10,10,,
yellow_flag,11,15,5,fluid on track,none
green_flag,16,27,12,,
yellow_flag,28,35,8,#17 accident 1 [red flag: lap 33,#71
green_flag,36,81,46,,
yellow_flag,82,88,7,end of stage 1,#24
green_flag,89,157,69,,
yellow_flag,158,161,4,#20 spun turn 2,#16
green_flag,162,166,5,,
yellow_flag,167,172,6,end of stage 2,#23
green_flag,173,235,63,,
yellow_flag,236,240,5,#7 accident turn 2,#31
green_flag,241,267,27,,
Percent of race run under caution: 13.1%             Average green flag run: 33.1 laps
