Rank,Driver,Points,Diff
1,Denny Hamlin,597,
2,William Byron,499,-98
3,Kyle Larson,487,-110
4,Joey Logano,486,-111
5,Chase Elliott,481,-116
6,Martin Truex Jr,474,-123
7,Ryan Blaney,458,-139
8,Kevin Harvick,428,-169
9,Kyle Busch,422,-175
9,Brad Keselowski,422,-175
11,Austin Dillon,366,-231
12,Alex Bowman,362,-235
13,Chris Buescher,338,-259
14,Christopher Bell,337,-260
15,Tyler Reddick,334,-263
16,Michael McDowell,329,-268
17,Matt DiBenedetto,296,-301
18,Kurt Busch,286,-311
19,Ricky Stenhouse Jr,281,-316
20,Ross Chastain,276,-321
21,Ryan Newman,273,-324
