Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,8,8,,
yellow_flag,9,9,1,#99 stalled on track,none
green_flag,10,16,7,,
yellow_flag,17,18,2,end of stage 1,none
green_flag,19,19,1,,
yellow_flag,20,24,5,"#4,12,20,23,47 accident backstretch",#99
green_flag,25,25,1,,
yellow_flag,26,28,3,"#19,41 accident backstretch",#99
green_flag,29,33,5,,
yellow_flag,34,35,2,end of stage 2,#99
green_flag,36,53,18,,
yellow_flag,54,54,1,rain,#78
Percent of race run under caution: 25.9%             Average green flag run: 6.7 laps
