Rank,Driver,Wins,Points
1,Martin Truex Jr,3,474
2,Alex Bowman,2,362
3,William Byron,1,499
4,Kyle Larson,1,487
5,Joey Logano,1,486
6,Chase Elliott,1,481
7,Ryan Blaney,1,458
8,Kyle Busch,1,422
8,Brad Keselowski,1,422
10,Christopher Bell,1,337
11,Michael McDowell,1,329
12,Denny Hamlin,0,597
13,Kevin Harvick,0,428
14,Austin Dillon,0,366
15,Chris Buescher,0,338
16,Tyler Reddick,0,334
