Rank,Driver,Wins,Points
1,Martin Truex Jr,3,667
2,William Byron,4,650
3,Christopher Bell,1,605
4,Denny Hamlin,1,601
5,Kyle Busch,3,593
6,Ross Chastain,1,589
7,Ryan Blaney,1,581
8,Kyle Larson,2,574
9,Kevin Harvick,0,568
10,Joey Logano,1,563
11,Brad Keselowski,0,539
12,Chris Buescher,0,528
13,Tyler Reddick,1,516
14,Ricky Stenhouse Jr,1,464
15,Bubba Wallace,0,433
16,Michael McDowell,0,432
