Rank,Driver,Points,Diff
1,Martin Truex Jr,667,
2,William Byron,649,-18
3,Christopher Bell,605,-62
4,Denny Hamlin,602,-65
5,Kyle Busch,593,-74
6,Ross Chastain,589,-78
7,Ryan Blaney,581,-86
8,Kyle Larson,574,-93
9,Kevin Harvick,568,-99
10,Joey Logano,563,-104
11,Brad Keselowski,539,-128
12,Chris Buescher,528,-139
13,Tyler Reddick,516,-151
14,Ricky Stenhouse Jr,464,-203
15,Bubba Wallace,433,-234
16,Michael McDowell,432,-235
17,Daniel Suarez,431,-236
18,A.J. Allmendinger,412,-255
19,Ty Gibbs,391,-276
20,Alex Bowman,390,-277
21,Justin Haley,386,-281
