Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,28,28,,
yellow_flag,29,33,5,#16 spun 2 / competition,#42
green_flag,34,71,38,,
yellow_flag,72,77,6,end of stage 1,#42
green_flag,78,163,86,,
yellow_flag,164,168,5,#43 spun turn 4,#14
green_flag,169,169,1,,
yellow_flag,170,174,5,#10 accident turn 2,#43
green_flag,175,186,12,,
yellow_flag,187,191,5,end of stage 2,#47
green_flag,192,271,80,,
yellow_flag,272,277,6,#42 accident turn 1,#31
green_flag,278,280,3,,
yellow_flag,281,285,5,"#54,43,48 accident backstretch",#77
green_flag,286,288,3,,
yellow_flag,289,292,4,#20 accident turn 4,#2
green_flag,293,301,9,,
Percent of race run under caution: 13.6%             Average green flag run: 28.9 laps
