driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Martin Truex Jr,2,1,1,1,17,1,7,35,28,21,60.0,88,301,100.0,254,84.4,301,150.0
Joey Logano,4,6,2,1,25,5,3,43,40,34,79.1,5,298,99.0,2,0.7,301,113.5
Kyle Larson,15,5,3,1,21,7,19,90,71,60,66.7,16,264,87.7,6,2.0,301,105.1
Kevin Harvick,13,9,4,1,28,11,2,98,96,56,57.1,26,226,75.1,10,3.3,301,95.7
Brad Keselowski,9,8,5,2,16,8,7,81,74,63,77.8,3,301,100.0,0,0.0,301,99.0
Tyler Reddick,6,15,6,3,32,13,37,112,75,42,37.5,14,190,63.1,0,0.0,301,90.6
Denny Hamlin,20,3,7,3,22,6,3,74,71,57,77.0,10,290,96.3,0,0.0,301,103.5
Bubba Wallace,8,19,8,5,28,13,13,94,81,57,60.6,2,220,73.1,0,0.0,301,88.1
Austin Dillon,11,11,9,1,34,18,-23,134,157,49,36.6,1,133,44.2,12,4.0,301,68.1
Chase Briscoe,27,20,10,5,32,17,-14,84,98,30,35.7,2,123,40.9,0,0.0,301,75.5
Erik Jones,30,26,11,3,34,24,22,155,133,24,15.5,3,63,20.9,0,0.0,301,54.9
Chase Elliott,18,23,12,1,30,18,-5,115,120,43,37.4,0,111,36.9,0,0.0,301,71.7
Michael McDowell,17,10,13,5,28,13,-17,75,92,40,53.3,1,220,73.1,0,0.0,301,82.2
Alex Bowman,25,16,14,7,29,18,6,83,77,32,38.6,0,100,33.2,0,0.0,301,69.8
Chris Buescher,26,14,15,8,26,15,5,120,115,57,47.5,1,187,62.1,0,0.0,301,75.9
Daniel Suarez,12,17,16,3,29,14,-2,91,93,30,33.0,0,179,59.5,0,0.0,301,72.0
Justin Haley,19,24,17,6,28,22,-3,124,127,5,4.0,0,5,1.7,0,0.0,301,55.2
Ricky Stenhouse Jr,16,31,18,1,35,25,-17,87,104,9,10.3,7,42,14.0,3,1.0,301,55.3
A.J. Allmendinger,14,18,19,9,34,21,9,117,108,5,4.3,0,32,10.6,0,0.0,301,59.8
Harrison Burton,28,22,20,6,29,20,-3,109,112,16,14.7,1,78,25.9,0,0.0,301,59.9
Todd Gilliland,23,25,21,10,35,25,-19,104,123,6,5.8,0,10,3.3,0,0.0,301,48.0
Ryan Blaney,5,4,22,2,26,6,10,93,83,43,46.2,12,269,89.4,0,0.0,301,100.8
Ross Chastain,31,29,23,10,31,21,-24,112,136,8,7.1,0,15,5.0,0,0.0,301,55.5
William Byron,7,12,24,1,29,14,-14,109,123,28,25.7,9,187,62.1,9,3.0,301,79.6
Austin Cindric,22,28,25,8,31,25,-5,123,128,9,7.3,0,16,5.3,0,0.0,301,42.5
Ty Dillon,35,30,26,14,36,28,-7,102,109,5,4.9,0,10,3.3,0,0.0,301,37.7
Ty Gibbs,36,13,27,6,36,16,-4,118,122,48,40.7,4,167,55.5,0,0.0,301,66.1
Ryan Preece,21,27,28,3,31,22,5,128,123,20,15.6,0,36,12.0,0,0.0,300,51.3
Christopher Bell,1,7,29,1,31,10,36,103,67,65,63.1,36,260,87.0,1,0.3,299,86.0
Ryan Newman,33,32,30,30,36,32,-1,14,15,0,0.0,0,0,0.0,0,0.0,299,29.3
B.J. McLeod,32,33,31,29,36,33,-4,8,12,0,0.0,0,0,0.0,0,0.0,295,27.5
Noah Gragson,29,21,32,8,35,30,-9,54,63,7,13.0,0,10,3.7,0,0.0,268,30.3
Corey LaJoie,24,35,33,16,35,33,3,30,27,0,0.0,1,0,0.0,0,0.0,176,35.1
Aric Almirola,3,2,34,1,6,16,1,10,9,8,80.0,7,168,100.0,4,2.4,168,96.3
Cole Custer,34,34,35,9,34,29,-23,44,67,3,6.8,0,4,3.1,0,0.0,130,34.2
Kyle Busch,10,36,36,10,36,34,6,28,22,0,0.0,0,0,0.0,0,0.0,71,27.2
