Rank,Driver,Points,Diff
1,Kyle Busch,5058,
2,Martin Truex Jr,5052,-6
3,Kevin Harvick,5049,-9
4,Denny Hamlin,5039,-19
5,Joey Logano,2380,-2678
6,Ryan Blaney,2339,-2719
6,Kyle Larson,2339,-2719
8,Brad Keselowski,2318,-2740
9,Clint Bowyer,2290,-2768
10,Chase Elliott,2275,-2783
11,William Byron,2274,-2784
12,Alex Bowman,2257,-2801
13,Kurt Busch,2237,-2821
14,Aric Almirola,2234,-2824
15,Ryan Newman,2219,-2839
16,Erik Jones,2194,-2864
17,Daniel Suarez,846,-4212
18,Jimmie Johnson,835,-4223
19,Paul Menard,777,-4281
20,Chris Buescher,729,-4329
21,Austin Dillon,710,-4348
