Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,6,6,,
yellow_flag,7,12,6,"#16,2,3 accident turn 2",none
green_flag,13,61,49,,
yellow_flag,62,69,8,end of stage 1,#3
green_flag,70,186,117,,
yellow_flag,187,194,8,end of stage 2,#41
green_flag,195,196,2,,
yellow_flag,197,202,6,#8 spun backstretch,#7
green_flag,203,205,3,,
yellow_flag,206,212,7,"#22,42,7,16,77,4 accident turn 1",none
green_flag,213,215,3,,
yellow_flag,216,220,5,"#11,45 accident turn 2",#8
green_flag,221,312,92,,
Percent of race run under caution: 12.8%             Average green flag run: 38.9 laps
