Rank,Driver,Points,Diff
1,Ryan Blaney,151,
2,Kyle Larson,141,-10
2,Martin Truex Jr,141,-10
4,William Byron,134,-17
5,Tyler Reddick,130,-21
5,Ty Gibbs,130,-21
7,Ross Chastain,129,-22
7,Denny Hamlin,129,-22
9,Chase Elliott,123,-28
10,Daniel Suarez,114,-37
11,Kyle Busch,110,-41
12,Christopher Bell,102,-49
13,Alex Bowman,99,-52
14,Bubba Wallace,97,-54
15,Austin Cindric,87,-64
16,Chris Buescher,86,-65
17,Erik Jones,84,-67
17,Michael McDowell,84,-67
19,Chase Briscoe,83,-68
20,Ricky Stenhouse Jr,80,-71
20,John H. Nemechek,80,-71
