Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,1,1
Alex Bowman,2,17,16
Ross Chastain,18,27,10
Joey Logano,28,29,2
Ryan Blaney,30,42,13
Joey Logano,43,43,1
Ryan Blaney,44,46,3
Ross Chastain,47,67,21
Alex Bowman,68,68,1
Ross Chastain,69,72,4
Denny Hamlin,73,74,2
Joey Logano,75,76,2
Austin Dillon,77,79,3
Noah Gragson,80,80,1
Joey Logano,81,92,12
Denny Hamlin,93,97,5
Ross Chastain,98,132,35
Joey Logano,133,133,1
Kevin Harvick,134,137,4
Kyle Busch,138,141,4
Joey Logano,142,142,1
Kyle Busch,143,144,2
Kevin Harvick,145,145,1
Ross Chastain,146,166,21
Chase Elliott,167,167,1
Denny Hamlin,168,171,4
Brad Keselowski,172,173,2
Michael McDowell,174,179,6
Kyle Busch,180,200,21
