Rank,Driver,Wins,Points
1,Ross Chastain,0,92
2,Joey Logano,0,81
3,Alex Bowman,0,80
4,Daniel Suarez,0,77
5,Kevin Harvick,0,74
6,Ricky Stenhouse Jr,1,73
7,Chris Buescher,0,67
7,Kyle Busch,1,67
9,Denny Hamlin,0,62
10,Martin Truex Jr,0,57
10,Brad Keselowski,0,57
12,Ryan Blaney,0,49
13,Corey LaJoie,0,45
14,Chase Elliott,0,41
15,Christopher Bell,0,40
16,Ty Gibbs,0,38
