Rank,Driver,Points,Diff
1,Ross Chastain,92,
2,Joey Logano,91,-1
3,Alex Bowman,80,-12
4,Kevin Harvick,79,-13
5,Daniel Suarez,77,-15
6,Chris Buescher,74,-18
7,Ricky Stenhouse Jr,73,-19
8,Kyle Busch,67,-25
9,Denny Hamlin,64,-28
9,Brad Keselowski,64,-28
11,Martin Truex Jr,60,-32
12,Ryan Blaney,57,-35
13,Corey LaJoie,51,-41
14,Chase Elliott,49,-43
14,Christopher Bell,49,-43
16,Michael McDowell,40,-52
17,Ty Gibbs,38,-54
17,Austin Cindric,38,-54
19,A.J. Allmendinger,35,-57
19,Harrison Burton,35,-57
19,Todd Gilliland,35,-57
