Rank,Driver,Points,Diff
1,Martin Truex Jr,4102,
2,Denny Hamlin,4082,-20
3,Kyle Busch,4075,-27
4,Joey Logano,4072,-30
5,Kevin Harvick,4058,-44
6,Ryan Blaney,4057,-45
7,Kyle Larson,4048,-54
8,Chase Elliott,4028,-74
9,Brad Keselowski,2264,-1838
10,William Byron,2226,-1876
11,Clint Bowyer,2190,-1912
12,Alex Bowman,2172,-1930
13,Kurt Busch,2161,-1941
14,Aric Almirola,2159,-1943
15,Ryan Newman,2148,-1954
16,Erik Jones,2091,-2011
17,Jimmie Johnson,773,-3329
18,Daniel Suarez,764,-3338
19,Paul Menard,715,-3387
20,Chris Buescher,669,-3433
21,Ricky Stenhouse Jr,642,-3460
