Rank,Driver,Wins,Points
1,William Byron,2,295
2,Alex Bowman,1,273
2,Kyle Busch,1,273
4,Ross Chastain,1,250
5,Kyle Larson,1,249
6,Chase Briscoe,1,245
7,Austin Cindric,1,222
8,Denny Hamlin,1,159
9,Chase Elliott,0,324
10,Ryan Blaney,0,321
11,Joey Logano,0,303
12,Martin Truex Jr,0,253
13,Tyler Reddick,0,241
14,Aric Almirola,0,237
15,Kevin Harvick,0,225
16,Christopher Bell,0,220
