Rank,Driver,Points,Diff
1,Chase Elliott,324,
2,Ryan Blaney,321,-3
3,Joey Logano,303,-21
4,William Byron,295,-29
5,Alex Bowman,273,-51
5,Kyle Busch,273,-51
7,Martin Truex Jr,253,-71
8,Ross Chastain,250,-74
9,Kyle Larson,249,-75
10,Chase Briscoe,245,-79
11,Tyler Reddick,241,-83
12,Aric Almirola,237,-87
13,Kevin Harvick,225,-99
14,Austin Cindric,222,-102
15,Christopher Bell,220,-104
16,Daniel Suarez,212,-112
17,Austin Dillon,210,-114
18,Chris Buescher,195,-129
19,Erik Jones,194,-130
20,Kurt Busch,192,-132
21,Ty Dillon,166,-158
