Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,11,18,Kyle Busch,Mars Crunchy Cookie   (Joe Gibbs),Toyota,250,running,1,52,5
2,3,8,Tyler Reddick,3CHI   (Richard Childress),Chevrolet,250,running,99,39,0
3,10,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,250,running,0,42,0
4,5,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,250,running,27,48,1
5,25,12,Ryan Blaney,Menards / Dutch Boy   (Roger Penske),Ford,250,running,0,36,0
6,8,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,250,running,0,36,0
7,2,20,Christopher Bell,DeWalt   (Joe Gibbs),Toyota,250,running,0,47,0
8,9,9,Chase Elliott,Kelley Blue Book   (Rick Hendrick),Chevrolet,250,running,0,36,0
9,17,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,250,running,0,31,0
10,7,42,Ty Dillon,Food City / Gain   (Petty GMS Motorsports),Chevrolet,250,running,0,36,0
11,18,6,Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,250,running,0,26,0
12,21,99,Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,250,running,64,33,0
13,1,41,Cole Custer,Jacob Construction / Haas Tooling   (Stewart Haas Racing),Ford,250,running,0,24,0
14,6,31,Justin Haley,Leaf Filter Gutter Protection   (Matthew Kaulig),Chevrolet,250,running,0,23,0
15,15,17,Chris Buescher,Fastenal   (Jack Roush),Ford,250,running,0,22,0
16,20,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,250,running,0,21,0
17,23,38,Todd Gilliland,First Phase Credit Card   (Bob Jenkins),Ford,250,running,0,20,0
18,19,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,250,running,0,19,0
19,26,7,Corey LaJoie,Nations Guard   (Spire Motorsports),Chevrolet,250,running,0,18,0
20,24,21,Harrison Burton,Dex Imaging   (Wood Brothers),Ford,250,running,0,17,0
21,30,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,250,running,0,16,0
22,4,14,Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,250,running,59,25,1
23,31,10,Aric Almirola,Cummins / Rush Truck Centers   (Stewart Haas Racing),Ford,250,running,0,14,0
24,14,43,Erik Jones,Food City / Tide   (Petty GMS Motorsports),Chevrolet,250,running,0,13,0
25,36,78,Josh Williams,Alloy Employment Services   (B.J. McLeod),Ford,250,running,0,0,0
26,35,51,Cody Ware,Nurtec ODT   (Rick Ware),Ford,250,running,0,11,0
27,28,16,Noah Gragson,Chevy Truck Month   (Matthew Kaulig),Chevrolet,248,running,0,0,0
28,22,23,Bubba Wallace,Columbia Sportswear   (23XI Racing),Toyota,245,running,0,9,0
29,16,47,Ricky Stenhouse Jr,Kroger / Irish Spring   (JTG-Daugherty Racing),Chevrolet,240,running,0,9,0
30,29,15,J.J. Yeley,Georgia Strong / JAG Metals   (Rick Ware),Ford,221,crash,0,0,0
31,12,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,211,crash,0,13,0
32,13,45,Kurt Busch,Monster Energy   (23XI Racing),Toyota,211,crash,0,5,0
33,33,1,Ross Chastain,Advent Health   (Trackhouse Racing),Chevrolet,150,engine,0,4,0
34,32,4,Kevin Harvick,Busch Latte   (Stewart Haas Racing),Ford,100,crash,0,3,0
35,34,11,Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,91,engine,0,2,0
36,27,77,Justin Allgaier,Brandt   (Spire Motorsports),Chevrolet,74,crash,0,0,0
