Rank,Driver,Wins,Points
1,Martin Truex Jr,0,270
2,Kyle Larson,1,256
3,Denny Hamlin,2,252
4,Ty Gibbs,0,236
5,Ryan Blaney,0,229
6,Christopher Bell,1,219
7,William Byron,2,215
8,Chase Elliott,0,209
9,Ross Chastain,0,207
10,Tyler Reddick,0,199
11,Alex Bowman,0,193
12,Chris Buescher,0,185
13,Kyle Busch,0,167
14,Bubba Wallace,0,165
15,Brad Keselowski,0,163
15,Daniel Suarez,1,163
