Rank,Driver,Points,Diff
1,Martin Truex Jr,270,
2,Kyle Larson,256,-14
3,Denny Hamlin,252,-18
4,Ty Gibbs,236,-34
5,Ryan Blaney,229,-41
6,Christopher Bell,219,-51
7,William Byron,215,-55
8,Chase Elliott,209,-61
9,Ross Chastain,207,-63
10,Tyler Reddick,199,-71
11,Alex Bowman,193,-77
12,Chris Buescher,185,-85
13,Kyle Busch,167,-103
14,Bubba Wallace,165,-105
15,Daniel Suarez,163,-107
15,Brad Keselowski,163,-107
17,John H. Nemechek,156,-114
18,Chase Briscoe,150,-120
19,Joey Logano,149,-121
20,Austin Cindric,133,-137
21,Michael McDowell,130,-140
