Leader,From Lap,To Lap,# Of Laps
Kurt Busch,1,54,54
Alex Bowman,55,159,105
Jimmie Johnson,160,162,3
John Hunter Nemechek,163,163,1
Ryan Preece,164,164,1
"Ricky Stenhouse, Jr.",165,165,1
Alex Bowman,166,223,58
"Martin Truex, Jr.",224,255,32
Brad Keselowski,256,262,7
"Martin Truex, Jr.",263,277,15
Joey Logano,278,302,25
Alex Bowman,303,303,1
Matt DiBenedetto,304,306,3
Joey Logano,307,307,1
"Martin Truex, Jr.",308,308,1
Matt DiBenedetto,309,311,3
"Martin Truex, Jr.",312,350,39
Jimmie Johnson,351,353,3
Brad Keselowski,354,362,9
Chase Elliott,363,400,38
Brad Keselowski,401,405,5
