Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,9,2,Brad Keselowski,Miller Lite Stars & Stripes   (Roger Penske),Ford,405,running,21,44,5
2,3,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,405,running,38,49,0
3,26,12,Ryan Blaney,Dex Imaging   (Roger Penske),Ford,405,running,0,44,0
4,11,18,Kyle Busch,"M&M's Red, White & Blue   (Joe Gibbs)",Toyota,405,running,0,52,0
5,22,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,405,running,0,33,0
6,8,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs / USO   (Joe Gibbs),Toyota,405,running,87,56,0
7,1,1,Kurt Busch,Gear Wrench   (Chip Ganassi),Chevrolet,405,running,54,32,0
8,5,8,Tyler Reddick,Alsco Uniforms Patriotic   (Richard Childress),Chevrolet,405,running,0,37,0
9,15,95,Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,405,running,0,28,0
10,19,17,Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,405,running,0,27,0
11,14,20,Erik Jones,DeWalt Atomic Thank You   (Joe Gibbs),Toyota,405,running,0,36,0
12,28,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,405,running,0,25,0
13,7,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,405,running,26,44,1
14,6,3,Austin Dillon,"Coca-Cola ""Salute to America's Heroes""   (Richard Childress)",Chevrolet,405,running,0,33,0
15,40,10,Aric Almirola,Smithfield Patriotic   (Stewart Haas Racing),Ford,405,running,0,22,0
16,25,38,John H. Nemechek,Yanmar   (Bob Jenkins),Ford,405,running,1,21,0
17,33,21,Matt DiBenedetto,Menards / FVP   (Wood Brothers),Ford,405,running,6,20,0
18,27,34,Michael McDowell,Love's / Special Forces Charitable Trust   (Bob Jenkins),Ford,405,running,0,19,0
19,12,88,Alex Bowman,ChevyGoods.com / NOCO Patriotic   (Rick Hendrick),Chevrolet,405,running,164,47,2
20,10,24,William Byron,Liberty University Patriotic   (Rick Hendrick),Chevrolet,404,running,0,29,0
21,21,77,Ross Chastain,"Advent Health ""Thank You Team Members""   (Spire Motorsports)",Chevrolet,403,running,0,0,0
22,29,37,Ryan Preece,Scott Products Patriotic   (JTG-Daugherty Racing),Chevrolet,403,running,1,15,0
23,24,32,Corey LaJoie,ARK.io   (Archie St. Hilaire),Ford,403,running,0,14,0
24,17,47,Ricky Stenhouse Jr,Kroger / Purina / Bush's Beans   (JTG-Daugherty Racing),Chevrolet,402,running,1,13,0
25,16,13,Ty Dillon,GEICO Military   (Germain Racing),Chevrolet,401,running,0,12,0
26,4,42,Matt Kenseth,McDonald's McDelivery   (Chip Ganassi),Chevrolet,401,running,0,11,0
27,18,6,Ryan Newman,Roman   (Jack Roush),Ford,400,running,0,11,0
28,37,96,Daniel Suarez,Today. Tomorrow. Toyota Patriotic   (Gaunt Brothers),Toyota,399,running,0,9,0
29,13,11,Denny Hamlin,FedEx #SupportSmall   (Joe Gibbs),Toyota,398,running,0,8,0
30,35,15,Brennan Poole,In Memory of SFC Nathan Chapman   (Rick Ware),Chevrolet,398,running,0,7,0
31,31,27,Gray Gaulding,Panini America   (Rick Ware),Ford,397,running,0,6,0
32,36,78,B.J. McLeod,Circle Track Warehouse Auction   (B.J. McLeod),Ford,393,running,0,0,0
33,38,53,Garrett Smithley,Victory Lane Quick Oil Change   (Rick Ware),Chevrolet,391,running,0,0,0
34,32,66,Timmy Hill,RoofClaim.com   (Carl Long),Toyota,390,running,0,0,0
35,30,00,Quin Houff,Good Greek Movers   (StarCom Racing),Chevrolet,390,running,0,2,0
36,39,51,Joey Gase,ASC / Carolina Cooler Patriotic   (Rick Ware),Ford,385,running,0,0,0
37,34,7,J.J. Yeley,"VCP   (Tommy Baldwin, Jr.)",Chevrolet,251,dvp,0,0,0
38,23,43,Bubba Wallace,U.S. Air Force   (Richard Petty Motorsports),Chevrolet,164,vibration,0,1,0
39,20,14,Clint Bowyer,Rush / Mobil Delvac 1   (Stewart Haas Racing),Ford,96,crash,0,1,0
40,2,48,Jimmie Johnson,Ally Patriotic   (Rick Hendrick),Chevrolet,405,disqualified,6,1,0
