Rank,Driver,Points,Diff
1,Kevin Harvick,291,
2,Joey Logano,268,-23
3,Alex Bowman,266,-25
4,Chase Elliott,241,-50
5,Brad Keselowski,235,-56
5,Martin Truex Jr,235,-56
7,Ryan Blaney,212,-79
8,Denny Hamlin,209,-82
8,Kyle Busch,209,-82
10,Aric Almirola,208,-83
11,Matt DiBenedetto,190,-101
12,Kurt Busch,183,-108
13,Erik Jones,182,-109
14,Clint Bowyer,171,-120
15,Jimmie Johnson,162,-129
15,Tyler Reddick,162,-129
17,William Byron,158,-133
18,Austin Dillon,153,-138
19,Chris Buescher,148,-143
20,Bubba Wallace,125,-166
21,Kyle Larson,121,-170
