Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,27,6,competition,#78
green_flag,28,48,21,,
yellow_flag,49,57,9,rain,#53
green_flag,58,97,40,,
yellow_flag,98,106,9,#14 accident turn 1,#96
green_flag,107,201,95,,
yellow_flag,202,208,7,end of stage 2,#17
green_flag,209,276,68,,
yellow_flag,277,281,5,#42 accident turn 2,#21
green_flag,282,301,20,,
yellow_flag,302,307,6,end of stage 3,#41
green_flag,308,348,41,,
yellow_flag,349,353,5,#51 spun turn 4,#1
green_flag,354,398,45,,
yellow_flag,399,403,5,#24 spun turn 2,#34
green_flag,404,405,2,,
Percent of race run under caution: 12.8%             Average green flag run: 39.2 laps
