Rank,Driver,Wins,Points
1,Joey Logano,2,268
2,Denny Hamlin,2,209
3,Kevin Harvick,1,291
4,Alex Bowman,1,266
5,Brad Keselowski,1,235
6,Chase Elliott,0,241
7,Martin Truex Jr,0,235
8,Ryan Blaney,0,212
9,Kyle Busch,0,209
10,Aric Almirola,0,208
11,Matt DiBenedetto,0,190
12,Kurt Busch,0,183
13,Erik Jones,0,182
14,Clint Bowyer,0,171
15,Jimmie Johnson,0,162
15,Tyler Reddick,0,162
