Rank,Driver,Points,Diff
1,Kyle Busch,177,
2,Joey Logano,171,-6
3,Kevin Harvick,168,-9
4,Denny Hamlin,165,-12
5,Martin Truex Jr,140,-37
6,Kyle Larson,138,-39
7,Aric Almirola,134,-43
8,Brad Keselowski,133,-44
9,Kurt Busch,126,-51
10,Ricky Stenhouse Jr,123,-54
11,Clint Bowyer,118,-59
12,Ryan Blaney,113,-64
13,Chase Elliott,108,-69
14,Erik Jones,106,-71
15,Jimmie Johnson,98,-79
16,Alex Bowman,94,-83
17,Ryan Newman,92,-85
18,William Byron,82,-95
19,Paul Menard,81,-96
20,Daniel Suarez,77,-100
21,Austin Dillon,76,-101
