Rank,Driver,Wins,Points
1,Kyle Busch,1,177
2,Joey Logano,1,171
3,Denny Hamlin,1,165
4,Brad Keselowski,1,133
5,Kevin Harvick,0,168
6,Martin Truex Jr,0,140
7,Kyle Larson,0,138
8,Aric Almirola,0,134
9,Kurt Busch,0,126
10,Ricky Stenhouse Jr,0,123
11,Clint Bowyer,0,118
12,Ryan Blaney,0,113
13,Chase Elliott,0,108
14,Erik Jones,0,106
15,Jimmie Johnson,0,98
16,Alex Bowman,0,94
