Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,38,38,,
yellow_flag,39,44,6,#20 spun turn 2,#37
green_flag,45,64,20,,
yellow_flag,65,70,6,#2 accident turn 1,#52
green_flag,71,76,6,,
yellow_flag,77,83,7,end of stage 1,#2
green_flag,84,148,65,,
yellow_flag,149,157,9,#88 accident turn 1,none
green_flag,158,159,2,,
yellow_flag,160,165,6,#34 accident turn 3,#37
green_flag,166,194,29,,
yellow_flag,195,200,6,#88 accident turn 3,#24
green_flag,201,219,19,,
yellow_flag,220,225,6,#9 spun turn 4,#43
green_flag,226,226,1,,
yellow_flag,227,232,6,#47 accident backstretch,#2
green_flag,233,233,1,,
yellow_flag,234,238,5,#47 accident turn 1,#36
green_flag,239,312,74,,
Percent of race run under caution: 18.3%             Average green flag run: 25.5 laps
