Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,3,91,Shane Van Gisbergen,Enhance Health   (Trackhouse Racing),Chevrolet,78,running,9,55,5
2,37,31,Justin Haley,Benesch Law   (Matthew Kaulig),Chevrolet,78,running,23,35,0
3,26,9,Chase Elliott,Hooters   (Rick Hendrick),Chevrolet,78,running,0,34,0
4,7,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,78,running,0,46,0
5,18,8,Kyle Busch,3CHI   (Richard Childress),Chevrolet,78,running,0,32,0
6,31,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,78,running,0,31,0
7,6,34,Michael McDowell,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,78,running,0,42,0
8,9,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,78,running,0,29,0
9,12,54,Ty Gibbs,Interstate Batteries   (Joe Gibbs),Toyota,78,running,1,35,0
10,15,17,Chris Buescher,Fastenal   (Jack Roush),Ford,78,running,0,27,0
11,1,11,Denny Hamlin,Yahoo!   (Joe Gibbs),Toyota,78,running,0,26,0
12,24,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,78,running,0,25,0
13,22,24,William Byron,Valvoline   (Rick Hendrick),Chevrolet,78,running,0,24,0
14,19,7,Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,78,running,0,23,0
15,28,41,Ryan Preece,Operating Engineers   (Stewart Haas Racing),Ford,78,running,0,22,0
16,21,43,Erik Jones,DRAIVER   (Legacy Motor Club),Chevrolet,78,running,0,21,0
17,10,16,A.J. Allmendinger,Bath Plant by BCI Acrylics   (Matthew Kaulig),Chevrolet,78,running,0,25,0
18,4,20,Christopher Bell,CRAFTSMAN Racing for a Miracle   (Joe Gibbs),Toyota,78,running,37,39,2
19,25,38,Todd Gilliland,gener8tor Skills   (Bob Jenkins),Ford,78,running,0,18,0
20,16,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,78,running,0,18,0
21,8,15,Jenson Button,Mobil 1   (Rick Ware),Ford,78,running,0,17,0
22,34,1,Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,78,running,0,15,0
23,27,78,Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,78,running,0,0,0
24,20,6,Brad Keselowski,Elk Grove Village   (Jack Roush),Ford,78,running,0,13,0
25,23,42,Noah Gragson,Wendy's   (Legacy Motor Club),Chevrolet,78,running,0,12,0
26,30,51,Andy Lally,Camping World   (Rick Ware),Ford,78,running,0,11,0
27,5,99,Daniel Suarez,Worldwide Express   (Trackhouse Racing),Chevrolet,78,running,0,19,0
28,2,45,Tyler Reddick,Monster Energy   (23XI Racing),Toyota,78,running,8,26,0
29,35,4,Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,78,running,0,8,0
30,32,21,Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,78,running,0,7,0
31,14,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,78,running,0,6,0
32,11,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,77,running,0,15,0
33,17,12,Ryan Blaney,Menards  Dutch Boy   (Roger Penske),Ford,77,running,0,4,0
34,36,47,Ricky Stenhouse Jr,Mariano's/SunnyD   (JTG-Daugherty Racing),Chevrolet,77,running,0,3,0
35,33,77,Ty Dillon,Chicago White Sox   (Spire Motorsports),Chevrolet,67,suspension,0,2,0
36,29,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,62,crash,0,1,0
37,13,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,40,crash,0,1,0
