Rank,Driver,Points,Diff
1,Martin Truex Jr,591,
2,William Byron,581,-10
3,Ross Chastain,573,-18
4,Christopher Bell,570,-21
5,Kyle Busch,560,-31
6,Denny Hamlin,539,-52
7,Kevin Harvick,523,-68
8,Kyle Larson,521,-70
9,Ryan Blaney,506,-85
10,Joey Logano,491,-100
11,Chris Buescher,476,-115
12,Tyler Reddick,463,-128
12,Brad Keselowski,463,-128
14,Ricky Stenhouse Jr,418,-173
15,Bubba Wallace,387,-204
16,Ty Gibbs,378,-213
17,Daniel Suarez,372,-219
18,Michael McDowell,368,-223
19,A.J. Allmendinger,354,-237
20,Alex Bowman,352,-239
21,Justin Haley,333,-258
