Rank,Driver,Wins,Points
1,Martin Truex Jr,2,591
2,William Byron,3,582
3,Ross Chastain,1,573
4,Christopher Bell,1,570
5,Kyle Busch,3,560
6,Denny Hamlin,1,538
7,Kevin Harvick,0,523
8,Kyle Larson,2,521
9,Ryan Blaney,1,506
10,Joey Logano,1,491
11,Chris Buescher,0,476
12,Brad Keselowski,0,463
12,Tyler Reddick,1,463
14,Ricky Stenhouse Jr,1,418
15,Bubba Wallace,0,387
16,Ty Gibbs,0,378
