Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,3,3,,
yellow_flag,4,5,2,spun turn 6,none
green_flag,6,13,8,,
yellow_flag,14,15,2,spun turn 6,none
green_flag,16,30,15,,
yellow_flag,31,33,3,spun turn 6,none
green_flag,34,41,8,,
yellow_flag,42,43,2,accident turn 11,#42
green_flag,44,45,2,,
yellow_flag,46,48,3,stopped turn 5,#42
green_flag,49,49,1,,
yellow_flag,50,52,3,,#12
green_flag,53,58,6,,
yellow_flag,59,60,2,spun turn 6,#12
green_flag,61,68,8,,
yellow_flag,69,70,2,spun turn 1,#21
green_flag,71,74,4,,
yellow_flag,75,76,2,accident turn 1,#45
green_flag,77,78,2,,
Percent of race run under caution: 26.9%             Average green flag run: 5.7 laps
