Rank,Driver,Points,Diff
1,Kevin Harvick,675,
2,Brad Keselowski,587,-88
3,Ryan Blaney,580,-95
4,Chase Elliott,575,-100
5,Joey Logano,564,-111
6,Denny Hamlin,553,-122
7,Martin Truex Jr,543,-132
8,Aric Almirola,504,-171
9,Alex Bowman,498,-177
10,Kurt Busch,492,-183
11,Kyle Busch,477,-198
12,Matt DiBenedetto,456,-219
13,Clint Bowyer,435,-240
14,William Byron,418,-257
15,Jimmie Johnson,412,-263
16,Austin Dillon,388,-287
17,Tyler Reddick,371,-304
18,Erik Jones,370,-305
19,Bubba Wallace,328,-347
20,Cole Custer,321,-354
20,Chris Buescher,321,-354
