Rank,Driver,Wins,Points
1,Kevin Harvick,4,675
2,Denny Hamlin,4,553
3,Brad Keselowski,2,587
4,Joey Logano,2,564
5,Ryan Blaney,1,580
6,Chase Elliott,1,575
7,Martin Truex Jr,1,543
8,Alex Bowman,1,498
9,Cole Custer,1,321
10,Aric Almirola,0,504
11,Kurt Busch,0,492
12,Kyle Busch,0,477
13,Matt DiBenedetto,0,456
14,Clint Bowyer,0,435
15,William Byron,0,418
16,Jimmie Johnson,0,412
