driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Ross Chastain,16,1,1,1,16,4,2,43,41,34,79.1,17,69,100.0,31,44.9,69,141.7
Alex Bowman,5,10,2,1,26,9,5,47,42,28,59.6,4,55,79.7,0,0.0,69,112.3
Christopher Bell,7,5,3,3,38,17,-36,54,90,22,40.7,0,41,59.4,0,0.0,69,90.5
Chase Elliott,12,9,4,3,25,11,16,58,42,39,67.2,0,55,79.7,0,0.0,69,97.7
Tyler Reddick,4,3,5,1,18,5,-21,35,56,24,68.6,0,67,97.1,2,2.9,69,115.5
Ryan Blaney,1,4,6,1,28,9,29,63,34,28,44.4,4,58,84.1,1,1.4,69,107.9
Martin Truex Jr,17,8,7,6,26,13,-26,46,72,32,69.6,0,46,66.7,0,0.0,69,89.0
Austin Cindric,10,26,8,1,34,11,-20,75,95,29,38.7,8,52,75.4,11,15.9,69,117.6
Erik Jones,30,11,9,8,38,20,-19,52,71,24,46.2,0,34,49.3,0,0.0,69,72.7
Austin Dillon,21,22,10,6,38,21,36,84,48,19,22.6,0,18,26.1,0,0.0,69,67.0
Kevin Harvick,18,13,11,10,34,17,-34,47,81,23,48.9,0,39,56.5,0,0.0,69,77.0
William Byron,24,27,12,5,33,16,27,84,57,16,19.0,0,34,49.3,0,0.0,69,83.5
Michael McDowell,27,21,13,8,38,22,-12,62,74,15,24.2,0,18,26.1,0,0.0,69,56.5
Brad Keselowski,26,30,14,14,38,28,45,111,66,5,4.5,0,4,5.8,0,0.0,69,52.2
Justin Haley,9,14,15,6,36,16,16,79,63,22,27.8,0,37,53.6,0,0.0,69,80.0
Todd Gilliland,29,19,16,16,37,26,4,71,67,0,0.0,0,0,0.0,0,0.0,69,52.8
Harrison Burton,19,24,17,7,31,22,33,104,71,8,7.7,0,10,14.5,0,0.0,69,62.8
Denny Hamlin,8,17,18,1,35,13,10,68,58,22,32.4,0,47,68.1,3,4.3,69,85.7
Aric Almirola,25,25,19,5,34,23,-16,73,89,3,4.1,0,8,11.6,0,0.0,69,57.8
Ty Dillon,33,32,20,11,35,26,13,85,72,3,3.5,0,2,2.9,0,0.0,69,45.5
Chris Buescher,22,16,21,9,30,19,-42,51,93,17,33.3,0,15,21.7,0,0.0,69,65.7
Josh Bilicki,34,28,22,13,36,28,42,96,54,1,1.0,0,2,2.9,0,0.0,69,43.5
Cole Custer,3,7,23,3,35,13,-52,50,102,28,56.0,0,52,75.4,0,0.0,69,85.7
Daniel Suarez,2,23,24,1,39,20,-1,56,57,7,12.5,4,25,36.2,15,21.7,69,79.8
Kaz Grala,31,33,25,14,39,30,-21,82,103,1,1.2,0,1,1.4,0,0.0,69,39.8
Boris Said,37,36,26,26,39,34,-8,50,58,0,0.0,0,0,0.0,0,0.0,69,32.5
Cody Ware,35,38,27,23,39,33,8,58,50,0,0.0,0,0,0.0,0,0.0,69,35.2
Kyle Busch,15,15,28,2,31,11,-16,61,77,38,62.3,0,57,82.6,0,0.0,69,70.2
Kyle Larson,13,12,29,5,38,18,11,85,74,29,34.1,2,38,55.1,0,0.0,69,72.2
Chase Briscoe,14,6,30,1,33,13,8,102,94,27,26.5,3,41,59.4,2,2.9,69,73.7
Joey Logano,6,18,31,1,36,17,18,87,69,11,12.6,1,27,39.1,2,2.9,69,70.3
Kurt Busch,11,34,32,11,38,25,28,91,63,3,3.3,0,5,7.2,0,0.0,69,48.8
A.J. Allmendinger,20,2,33,1,28,8,-6,51,57,22,43.1,3,53,77.9,2,2.9,68,95.2
Loris Hezemans,36,35,34,27,39,35,-6,52,58,0,0.0,0,0,0.0,0,0.0,62,27.0
Joey Hand,38,37,35,11,38,27,-28,68,96,7,10.3,0,10,16.7,0,0.0,60,47.0
Corey LaJoie,32,29,36,17,37,31,-36,50,86,0,0.0,0,0,0.0,0,0.0,57,32.7
Ricky Stenhouse Jr,28,31,37,11,37,28,26,87,61,7,8.0,0,7,13.5,0,0.0,52,43.2
Bubba Wallace,23,20,38,5,38,26,17,60,43,4,6.7,0,8,18.2,0,0.0,44,55.2
Andy Lally,39,39,39,29,39,38,5,21,16,0,0.0,0,0,0.0,0,0.0,19,25.3
