Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,16,16,,
yellow_flag,17,17,1,end of stage 1,none
green_flag,18,31,14,,
yellow_flag,32,32,1,end of stage 2,none
green_flag,33,34,2,,
yellow_flag,35,36,2,debris turn 11,none
green_flag,37,41,5,,
yellow_flag,42,43,2,#43 stopped backstretch,#20
green_flag,44,45,2,,
yellow_flag,46,46,1,debris turn 16,#43
green_flag,47,54,8,,
yellow_flag,55,56,2,#47 stuck backstretch,none
green_flag,57,58,2,,
yellow_flag,59,59,1,fluid frontstretch,none
green_flag,60,63,4,,
yellow_flag,64,65,2,#27 stopped turn 3,none
green_flag,66,66,1,,
yellow_flag,67,67,1,"#22,45,5 accident turn 1",none
green_flag,68,69,2,,
Percent of race run under caution: 18.8%             Average green flag run: 5.6 laps
