Rank,Driver,Wins,Points
1,Alex Bowman,1,183
2,Ross Chastain,1,180
3,William Byron,1,175
4,Chase Briscoe,1,166
5,Austin Cindric,1,153
6,Kyle Larson,1,149
7,Chase Elliott,0,208
8,Ryan Blaney,0,195
9,Joey Logano,0,185
10,Martin Truex Jr,0,172
11,Aric Almirola,0,168
12,Tyler Reddick,0,158
13,Kyle Busch,0,154
14,Kevin Harvick,0,153
14,Kurt Busch,0,153
16,Daniel Suarez,0,150
