Rank,Driver,Points,Diff
1,Chase Elliott,208,
2,Ryan Blaney,195,-13
3,Joey Logano,185,-23
4,Alex Bowman,183,-25
5,Ross Chastain,180,-28
6,William Byron,175,-33
7,Martin Truex Jr,172,-36
8,Aric Almirola,168,-40
9,Chase Briscoe,166,-42
10,Tyler Reddick,158,-50
11,Kyle Busch,154,-54
12,Austin Cindric,153,-55
12,Kurt Busch,153,-55
12,Kevin Harvick,153,-55
15,Daniel Suarez,150,-58
16,Kyle Larson,149,-59
17,Erik Jones,143,-65
18,Austin Dillon,131,-77
19,Chris Buescher,129,-79
20,Bubba Wallace,122,-86
21,Justin Haley,121,-87
