Rank,Driver,Points,Diff
1,Christopher Bell,281,
2,Ross Chastain,268,-13
3,Kevin Harvick,255,-26
4,Kyle Larson,242,-39
5,Tyler Reddick,235,-46
6,Kyle Busch,234,-47
7,Martin Truex Jr,232,-49
8,Joey Logano,223,-58
9,Brad Keselowski,216,-65
10,Ryan Blaney,211,-70
10,Alex Bowman,211,-70
12,Denny Hamlin,204,-77
13,Ricky Stenhouse Jr,194,-87
14,Austin Cindric,193,-88
15,William Byron,192,-89
16,Chris Buescher,183,-98
17,Michael McDowell,182,-99
18,Ty Gibbs,174,-107
19,Daniel Suarez,170,-111
20,Chase Briscoe,163,-118
21,Corey LaJoie,162,-119
