Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,11,11,,
yellow_flag,12,20,9,"#22,23,24,38 accident turn 2",none
green_flag,21,38,18,,
yellow_flag,39,45,7,#51 spun turn 4,#38
green_flag,46,58,13,,
yellow_flag,59,64,6,#6 spun turn 4,#43
green_flag,65,74,10,,
yellow_flag,75,75,1,"#11,9,77 accident 4 / stage 1 conclusion",#6
green_flag,76,81,6,,
yellow_flag,82,86,5,#13 spun turn 4,#43
green_flag,87,88,2,,
yellow_flag,89,94,6,#34 spun turn 2,#43
green_flag,95,103,9,,
yellow_flag,104,111,8,#41 spun backstretch,#16
green_flag,112,126,15,,
yellow_flag,127,131,5,#6 spun turn 2,#41
green_flag,132,149,18,,
yellow_flag,150,150,1,end of stage 2,#41
green_flag,151,156,6,,
yellow_flag,157,161,5,#5 spun turn 4,#6
green_flag,162,175,14,,
yellow_flag,176,181,6,"#5,41 accident turn 1",#16
green_flag,182,201,20,,
yellow_flag,202,207,6,#4 spun turn 1,#16
green_flag,208,235,28,,
yellow_flag,236,242,7,#8 spun turn 4,#15
green_flag,243,249,7,,
yellow_flag,250,250,1,"#9,99,1 accident backstretch",none
Percent of race run under caution: 29.2%             Average green flag run: 12.6 laps
