Rank,Driver,Points,Diff
1,Joey Logano,136,
2,Kyle Busch,132,-4
3,Chase Elliott,131,-5
4,Chase Briscoe,126,-10
4,Kyle Larson,126,-10
6,Aric Almirola,122,-14
7,Ryan Blaney,118,-18
8,Austin Cindric,116,-20
9,Tyler Reddick,114,-22
10,Kevin Harvick,111,-25
11,Alex Bowman,109,-27
11,Kurt Busch,109,-27
11,Martin Truex Jr,109,-27
14,Ross Chastain,101,-35
15,William Byron,98,-38
16,Austin Dillon,97,-39
17,Bubba Wallace,93,-43
18,Brad Keselowski,91,-45
19,Erik Jones,86,-50
20,Ty Dillon,85,-51
21,Chris Buescher,83,-53
