Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,6,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,312,running,101,52,5
2,17,1,Ross Chastain,K1 Speed   (Trackhouse Racing),Chevrolet,312,running,0,39,0
3,12,8,Tyler Reddick,Guaranteed Rate   (Richard Childress),Chevrolet,312,running,0,46,0
4,1,12,Ryan Blaney,Menards / Maytag   (Roger Penske),Ford,312,running,143,43,1
5,15,45,Kurt Busch,Money Lion   (23XI Racing),Toyota,312,running,0,32,0
6,16,4,Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,312,running,0,42,0
7,11,18,Kyle Busch,DeWalt   (Joe Gibbs),Toyota,312,running,0,30,0
8,10,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,312,running,4,32,0
9,23,99,Daniel Suarez,CommScope   (Trackhouse Racing),Chevrolet,312,running,0,28,0
10,26,17,Chris Buescher,IT Savvy   (Jack Roush),Ford,312,running,0,27,0
11,19,9,Chase Elliott,UniFirst   (Rick Hendrick),Chevrolet,312,running,50,43,0
12,5,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,312,running,0,25,0
13,2,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,312,running,0,24,0
14,9,48,Alex Bowman,Ally / Best Friends   (Rick Hendrick),Chevrolet,312,running,0,29,0
15,21,42,Ty Dillon,Black Rifle Coffee Co.   (Petty GMS Motorsports),Chevrolet,312,running,0,22,0
16,25,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,312,running,0,21,0
17,28,31,Justin Haley,Leaf Filter Gutter Protection   (Matthew Kaulig),Chevrolet,312,running,0,20,0
18,3,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,312,running,12,36,1
19,33,38,Todd Gilliland,Frontline Enterprises   (Bob Jenkins),Ford,312,running,0,18,0
20,29,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,312,running,0,0,0
21,13,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,311,crash,0,19,0
22,27,23,Bubba Wallace,Root Insurance   (23XI Racing),Toyota,311,running,0,15,0
23,18,6,Brad Keselowski,Violet Defense   (Jack Roush),Ford,311,running,0,14,0
24,8,2,Austin Cindric,Auto Trader   (Roger Penske),Ford,311,running,0,13,0
25,14,43,Erik Jones,Focus Factor   (Petty GMS Motorsports),Chevrolet,311,running,0,12,0
26,4,20,Christopher Bell,Rheem / Capitol Container   (Joe Gibbs),Toyota,310,running,0,16,0
27,22,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,310,running,0,10,0
28,36,47,Ricky Stenhouse Jr,Fry's / NOS   (JTG-Daugherty Racing),Chevrolet,310,running,0,9,0
29,24,21,Harrison Burton,Dex Imaging   (Wood Brothers),Ford,309,running,0,8,0
30,31,77,Landon Cassill,Voyager: Crypto for All   (Spire Motorsports),Chevrolet,308,running,0,0,0
31,32,51,Cody Ware,Nurtec ODT   (Rick Ware),Ford,307,running,0,6,0
32,35,15,Garrett Smithley,Jacob Companies   (Rick Ware),Ford,305,running,0,5,0
33,34,78,B.J. McLeod,Premier Business Investments   (B.J. McLeod),Ford,304,running,0,4,0
34,7,5,Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,239,engine,2,13,0
35,20,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,219,crash,0,2,0
36,30,7,Corey LaJoie,Built.com   (Spire Motorsports),Chevrolet,45,crash,0,1,0
