Rank,Driver,Wins,Points
1,Chase Briscoe,1,126
1,Kyle Larson,1,126
3,Austin Cindric,1,116
4,Alex Bowman,1,109
5,Joey Logano,0,136
6,Kyle Busch,0,132
7,Chase Elliott,0,131
8,Aric Almirola,0,122
9,Ryan Blaney,0,118
10,Tyler Reddick,0,114
11,Kevin Harvick,0,111
12,Martin Truex Jr,0,109
12,Kurt Busch,0,109
14,Ross Chastain,0,101
15,William Byron,0,98
16,Austin Dillon,0,97
