Rank,Driver,Wins,Points
1,Kyle Larson,5,1004
2,Martin Truex Jr,3,789
3,Alex Bowman,3,674
4,Kyle Busch,2,838
5,Chase Elliott,2,830
6,Ryan Blaney,2,787
7,William Byron,1,833
8,Joey Logano,1,772
9,Brad Keselowski,1,729
10,Kurt Busch,1,643
11,Christopher Bell,1,605
12,Michael McDowell,1,497
13,Aric Almirola,1,436
14,Denny Hamlin,0,976
15,Kevin Harvick,0,756
16,Tyler Reddick,0,677
