Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,25,4,competition,#53
green_flag,26,31,6,,
yellow_flag,32,35,4,#15 accident turn 2,none
green_flag,36,61,26,,
yellow_flag,62,66,5,end of stage 1,#00
green_flag,67,121,55,,
yellow_flag,122,126,5,accident frontstretch,#77
green_flag,127,180,54,,
yellow_flag,181,186,6,rain,#43
green_flag,187,187,1,,
yellow_flag,188,192,5,"#6,7,8,19,20,22,34 accident turn 4",#51
green_flag,193,200,8,,
Percent of race run under caution: 14.5%             Average green flag run: 24.4 laps
