Rank,Driver,Points,Diff
1,Kyle Larson,1004,
2,Denny Hamlin,976,-28
3,Kyle Busch,838,-166
4,William Byron,833,-171
5,Chase Elliott,830,-174
6,Martin Truex Jr,789,-215
7,Ryan Blaney,787,-217
8,Joey Logano,772,-232
9,Kevin Harvick,756,-248
10,Brad Keselowski,729,-275
11,Tyler Reddick,677,-327
12,Alex Bowman,674,-330
13,Austin Dillon,652,-352
14,Kurt Busch,643,-361
15,Christopher Bell,605,-399
16,Matt DiBenedetto,557,-447
17,Chris Buescher,542,-462
18,Ricky Stenhouse Jr,504,-500
19,Michael McDowell,497,-507
20,Ross Chastain,492,-512
21,Bubba Wallace,482,-522
