Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,2,2
Matt DiBenedetto,3,3,1
Kyle Larson,4,22,19
Denny Hamlin,23,26,4
Chase Elliott,27,63,37
Kyle Larson,64,65,2
Austin Dillon,66,67,2
Kyle Larson,68,79,12
Chase Elliott,80,110,31
Kyle Busch,111,113,3
Christopher Bell,114,115,2
Kyle Busch,116,122,7
Kyle Larson,123,126,4
Kurt Busch,127,127,1
Kyle Larson,128,158,31
Denny Hamlin,159,164,6
Kyle Busch,165,167,3
Brad Keselowski,168,173,6
Christopher Bell,174,174,1
William Byron,175,192,18
Ryan Blaney,193,200,8
