Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,6,6,,
yellow_flag,7,9,3,#14 spun frontstretch,none
green_flag,10,34,25,,
yellow_flag,35,40,6,#78 spun frontstretch,#38
green_flag,41,62,22,,
yellow_flag,63,67,5,#99 accident turn 4,#31
green_flag,68,81,14,,
yellow_flag,82,87,6,end of stage 1,#77
green_flag,88,126,39,,
yellow_flag,127,136,10,#4 spun turn 1,#48
green_flag,137,166,30,,
yellow_flag,167,173,7,end of stage 2,#38
green_flag,174,196,23,,
yellow_flag,197,201,5,#9 spun turn 3,#19
green_flag,202,229,28,,
yellow_flag,230,234,5,fluid on track,#7
green_flag,235,267,33,,
Percent of race run under caution: 17.6%             Average green flag run: 24.4 laps
