Rank,Driver,Points,Diff
1,Chase Elliott,475,
2,Ryan Blaney,423,-52
3,Kyle Busch,417,-58
4,William Byron,415,-60
5,Ross Chastain,407,-68
6,Martin Truex Jr,400,-75
7,Joey Logano,396,-79
8,Alex Bowman,386,-89
9,Kyle Larson,376,-99
10,Christopher Bell,359,-116
11,Kevin Harvick,335,-140
12,Aric Almirola,322,-153
13,Austin Dillon,311,-164
14,Chase Briscoe,300,-175
14,Tyler Reddick,300,-175
16,Austin Cindric,291,-184
17,Erik Jones,290,-185
18,Kurt Busch,283,-192
19,Daniel Suarez,273,-202
20,Denny Hamlin,267,-208
21,Chris Buescher,261,-214
