Rank,Driver,Points,Diff
1,Kyle Larson,335,
2,Martin Truex Jr,318,-17
3,Denny Hamlin,307,-28
4,Chase Elliott,303,-32
5,William Byron,297,-38
6,Ty Gibbs,280,-55
7,Ryan Blaney,278,-57
8,Tyler Reddick,269,-66
9,Bubba Wallace,256,-79
10,Christopher Bell,250,-85
11,Ross Chastain,247,-88
12,Chase Briscoe,231,-104
13,Chris Buescher,229,-106
14,Alex Bowman,228,-107
15,Joey Logano,217,-118
15,Kyle Busch,217,-118
17,Brad Keselowski,216,-119
18,Daniel Suarez,210,-125
19,Erik Jones,179,-156
20,John H. Nemechek,160,-175
21,Austin Cindric,159,-176
