Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,50,50,,
yellow_flag,51,55,5,#84 spun turn 4,#17
green_flag,56,81,26,,
yellow_flag,82,88,7,end of stage 1,#8
green_flag,89,101,13,,
yellow_flag,102,106,5,"#20,42,48 accident turn 4",#51
green_flag,107,114,8,,
yellow_flag,115,118,4,"#8,77 accident turn 1",#16
green_flag,119,121,3,,
yellow_flag,122,125,4,#4 accident turn 2,#84
green_flag,126,137,12,,
yellow_flag,138,142,5,#4 accident turn 2,#20
green_flag,143,143,1,,
yellow_flag,144,149,6,#34 accident turn 4,#5
green_flag,150,166,17,,
yellow_flag,167,172,6,end of stage 2,#5
green_flag,173,173,1,,
yellow_flag,174,177,4,"#14,23 accident turn 4",#15
green_flag,178,181,4,,
yellow_flag,182,184,3,"#12,41 accident turn 2",#15
green_flag,185,229,45,,
yellow_flag,230,234,5,#42 accident turn 4,#71
green_flag,235,254,20,,
yellow_flag,255,259,5,#47 accident turn 2,#19
green_flag,260,260,1,,
yellow_flag,261,265,5,"#5,71 accident turn 1",#47
green_flag,266,266,1,,
yellow_flag,267,270,4,#11 accident turn 4,#12
green_flag,271,271,1,,
yellow_flag,272,274,3,"#15,21 accident turn 1",#12
green_flag,275,275,1,,
yellow_flag,276,276,1,"#1,24 accident backstretch",none
Percent of race run under caution: 26.1%             Average green flag run: 12.8 laps
